Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 28, 2015",0.72,0.78,0.70,0.73,"68,164.00","5,064,096.00"
"Mar 27, 2015",0.68,0.73,0.67,0.71,"38,626.00","4,941,919.00"
"Mar 26, 2015",0.70,0.72,0.67,0.69,"40,528.00","4,697,657.00"
"Mar 25, 2015",0.65,0.71,0.61,0.70,"90,384.00","4,846,246.00"
"Mar 24, 2015",0.70,0.71,0.62,0.65,"47,650.00","4,467,756.00"
"Mar 23, 2015",0.72,0.73,0.68,0.70,"42,156.00","4,850,992.00"
"Mar 22, 2015",0.69,0.74,0.68,0.72,"100,726.00","4,911,200.00"
"Mar 21, 2015",0.59,0.69,0.58,0.69,"56,936.00","4,685,328.00"
"Mar 20, 2015",0.63,0.64,0.57,0.59,"26,273.00","4,039,382.00"
"Mar 19, 2015",0.60,0.64,0.58,0.64,"47,983.00","4,239,794.00"
"Mar 18, 2015",0.71,0.71,0.57,0.59,"48,946.00","4,078,855.00"
"Mar 17, 2015",0.76,0.78,0.70,0.71,"57,815.00","4,808,952.00"
"Mar 16, 2015",0.66,0.81,0.66,0.76,"105,227.00","5,182,973.00"
"Mar 15, 2015",0.64,0.76,0.64,0.66,"67,025.00","4,450,099.00"
"Mar 14, 2015",0.60,0.69,0.56,0.64,"79,528.00","4,323,934.00"
"Mar 13, 2015",0.64,0.65,0.60,0.61,"53,598.00","4,061,922.00"
"Mar 12, 2015",0.68,0.68,0.62,0.64,"59,368.00","4,333,768.00"
"Mar 11, 2015",0.74,0.75,0.62,0.68,"89,502.00","4,453,127.00"
"Mar 10, 2015",0.60,0.78,0.54,0.74,"168,266.00","4,856,434.00"
"Mar 09, 2015",0.45,0.62,0.43,0.59,"102,247.00","3,880,911.00"
"Mar 08, 2015",0.43,0.46,0.42,0.45,"36,067.00","2,951,956.00"
"Mar 07, 2015",0.45,0.46,0.42,0.42,"23,296.00","2,782,224.00"
"Mar 06, 2015",0.43,0.48,0.41,0.45,"70,416.00","2,899,522.00"
"Mar 05, 2015",0.37,0.43,0.37,0.43,"40,839.00","2,782,387.00"
"Mar 04, 2015",0.37,0.38,0.35,0.37,"19,089.00","2,419,123.00"
"Mar 03, 2015",0.38,0.38,0.35,0.37,"20,608.00","2,425,889.00"
"Mar 02, 2015",0.38,0.39,0.34,0.38,"60,856.00","2,501,135.00"
"Mar 01, 2015",0.38,0.38,0.36,0.38,"20,774.00","2,473,189.00"
"Feb 28, 2015",0.34,0.39,0.34,0.38,"60,802.00","2,473,982.00"
"Feb 27, 2015",0.32,0.36,0.32,0.34,"33,027.00","2,199,354.00"
"Feb 26, 2015",0.32,0.33,0.30,0.32,"27,427.00","2,030,639.00"
