date,monday,tuesday,wednesday,thursday,friday
2016 Jul-18 to Jul-22,45.35,45.7,45.82,44.99,44.24
2016 Jul-25 to Jul-29,43.76,43.56,42.78,41.87,40.76
2016 Aug- 1 to Aug- 5,40.17,40,40.45,41.33,42.47
2016 Aug- 8 to Aug-12,43.24,43.37,42.19,44.23,45.12
2016 Aug-15 to Aug-19,47.31,48.27,48.58,49.46,49.39
2016 Aug-22 to Aug-26,48.1,48.7,47.56,49.25,49.66
2016 Aug-29 to Sep- 2,49.66,47.94,47.94,45.05,45.96
2016 Sep- 5 to Sep- 9,46.72,46.21,47,49.23,48.37
2016 Sep-12 to Sep-16,47.82,46.48,45.65,45.83,45.26
2016 Sep-19 to Sep-23,46.04,45.24,45.99,47.21,46.71
2016 Sep-26 to Sep-30,46.61,44.95,45.49,48.43,48.24
2016 Oct- 3 to Oct- 7,48.61,48.81,49.57,50.14,50.49
2016 Oct-10 to Oct-14,51.54,50.48,49.53,49.29,48.87
2016 Oct-17 to Oct-21,49.31,49.81,51.85,50.42,50.28
2016 Oct-24 to Oct-28,49.8,49.08,48.98,49.13,47.78
2016 Oct-31 to Nov- 4,46.2,45.77,44.26,43.84,43.06
2016 Nov- 7 to Nov-11,42.83,43.47,43.88,43.67,41.61
2016 Nov-14 to Nov-18,41.83,44.15,45.07,44.57,44.41
2016 Nov-21 to Nov-25,45.96,46.1,46.54,47.54,46.32
2016 Nov-28 to Dec- 2,46.64,44.68,47.95,52.28,52.35
2016 Dec- 5 to Dec- 9,53.3,52.31,51.9,51.6,52.19
2016 Dec-12 to Dec-16,53.99,53.28,53.15,51.72,54.15
2016 Dec-19 to Dec-23,53.53,54.56,53.01,54.04,53.93
2016 Dec-26 to Dec-30,,,54.95,54.97,54.96
2017 Jan- 2 to Jan- 6,,55.05,54.57,54.99,55.9
2017 Jan- 9 to Jan-13,54.39,53.2,53.61,54.51,54.37
2017 Jan-16 to Jan-20,54.3,54.68,53.77,53.18,55.04
2017 Jan-23 to Jan-27,54.8,54.7,54.34,55.89,54.8
2017 Jan-30 to Feb- 3,54.77,55.25,55.79,55.94,55.92
2017 Feb- 6 to Feb-10,55.02,53.79,54.42,53.98,55.2
2017 Feb-13 to Feb-17,54.15,54.96,54.57,54.16,54.48
2017 Feb-20 to Feb-24,55.25,56.34,54.9,55.82,54.69
2017 Feb-27 to Mar- 3,54.65,53.36,55.72,54.16,54.12
2017 Mar- 6 to Mar-10,54.73,54.61,53.3,50.65,50.63
2017 Mar-13 to Mar-17,50.1,49.6,50.63,50.56,50.58
2017 Mar-20 to Mar-24,50.67,50.14,49.56,50.17,49.97
2017 Mar-27 to Mar-31,50.12,50.72,51.36,52.25,52.2
2017 Apr- 3 to Apr- 7,52.04,53.08,53.41,53.62,54.24
2017 Apr-10 to Apr-14,54.79,54.73,54.75,55.05,
2017 Apr-17 to Apr-21,54.79,52.6,52.43,50.66,49.93
2017 Apr-24 to Apr-28,49.45,49.37,49.99,49.46,49.46
2017 May- 1 to May- 5,50.41,49.31,48.82,47.53,47.45
2017 May- 8 to May-12,46.61,47.06,48.09,49.18,49.08
2017 May-15 to May-19,51.29,51.21,51.76,51.71,52.78
2017 May-22 to May-26,53.35,53.19,53.29,52.25,50.84
2017 May-29 to Jun- 2,52.25,50.65,49.4,50.41,48.46
2017 Jun- 5 to Jun- 9,48.25,48.11,47.08,46.3,46.64
2017 Jun-12 to Jun-16,47.18,46.95,45.47,45.61,45.7
2017 Jun-19 to Jun-23,45.93,43.98,44.62,44.46,44.14
2017 Jun-26 to Jun-30,44.09,46.17,46.45,47.02,47.08
2017 Jul- 3 to Jul- 7,49.13,49.15,47.58,48.53,46.47
2017 Jul-10 to Jul-14,46.57,46.68,46.73,47.65,47.89
2017 Jul-17 to Jul-21,47.66,47.92,48.34,48.54,47.47
2017 Jul-24 to Jul-28,47.81,49.19,50.08,50.67,52
2017 Jul-31 to Aug- 4,51.99,50.77,52.09,52.88,52.48
2017 Aug- 7 to Aug-11,51.42,52.18,52.16,52.59,51.47
2017 Aug-14 to Aug-18,51.29,49.9,50.39,50.37,50.96
2017 Aug-21 to Aug-25,51.94,52.29,52.31,51.73,51.87
2017 Aug-28 to Sep- 1,51.87,51.64,51.91,52.69,53.15
2017 Sep- 4 to Sep- 8,52.6,53.63,54.48,54.16,54.55
2017 Sep-11 to Sep-15,54.2,55.06,55.52,56.76,56.18
2017 Sep-18 to Sep-22,55.5,56.58,57.2,57.73,58.16
2017 Sep-25 to Sep-29,59.42,59.77,58.74,58.8,57.02
2017 Oct- 2 to Oct- 6,55.67,56.12,56,57.09,55.5
2017 Oct- 9 to Oct-13,55.29,56.62,56.13,56.13,56.86
2017 Oct-16 to Oct-20,57.49,57.63,58.05,57.82,57.89
2017 Oct-23 to Oct-27,57.69,57.84,58.45,58.75,60.15
2017 Oct-30 to Nov- 3,60.65,61.35,60.98,60.79,61.42
2017 Nov- 6 to Nov-10,64.27,64.36,63.96,64.49,64.35
2017 Nov-13 to Nov-17,62.94,60.91,61.25,61.18,61.34
