Date,Open,High,Low,Close,Volume
"Wednesday, April 14, 2021",105.95,105.95,105.95,105.95,--
"Tuesday, April 13, 2021",105.91,105.91,105.91,105.91,--
"Monday, April 12, 2021",105.66,105.66,105.66,105.66,--
"Friday, April 09, 2021",105.62,105.62,105.62,105.62,--
"Thursday, April 08, 2021",105.8,105.8,105.8,105.8,--
"Wednesday, April 07, 2021",105.66,105.66,105.66,105.66,--
"Tuesday, April 06, 2021",105.52,105.52,105.52,105.52,--
"Monday, April 05, 2021",105.39,105.39,105.39,105.39,--
"Thursday, April 01, 2021",105.52,105.52,105.52,105.52,--
"Wednesday, March 31, 2021",105.38,105.38,105.38,105.38,--
"Tuesday, March 30, 2021",105.34,105.34,105.34,105.34,--
"Monday, March 29, 2021",105.54,105.54,105.54,105.54,--
"Friday, March 26, 2021",105.7,105.7,105.7,105.7,--
"Thursday, March 25, 2021",105.7,105.7,105.7,105.7,--
"Wednesday, March 24, 2021",105.67,105.67,105.67,105.67,--
"Tuesday, March 23, 2021",105.46,105.46,105.46,105.46,--
"Monday, March 22, 2021",105.38,105.38,105.38,105.38,--
"Friday, March 19, 2021",105.11,105.11,105.11,105.11,--
"Thursday, March 18, 2021",105.14,105.14,105.14,105.14,--
"Wednesday, March 17, 2021",105.7,105.7,105.7,105.7,--
"Tuesday, March 16, 2021",105.72,105.72,105.72,105.72,--
"Monday, March 15, 2021",105.51,105.51,105.51,105.51,--
"Friday, March 12, 2021",105.32,105.32,105.32,105.32,--
"Thursday, March 11, 2021",105.75,105.75,105.75,105.75,--
"Wednesday, March 10, 2021",105.49,105.49,105.49,105.49,--
"Tuesday, March 09, 2021",105.11,105.11,105.11,105.11,--
"Monday, March 08, 2021",104.79,104.79,104.79,104.79,--
"Friday, March 05, 2021",105.21,105.21,105.21,105.21,--
"Thursday, March 04, 2021",105.24,105.24,105.24,105.24,--
"Wednesday, March 03, 2021",105.58,105.58,105.58,105.58,--
"Tuesday, March 02, 2021",105.74,105.74,105.74,105.74,--
"Monday, March 01, 2021",105.39,105.39,105.39,105.39,--
"Friday, February 26, 2021",105.3,105.3,105.3,105.3,--
